,Unnamed: 0,venue_id,name,lat,lng,address,distance,postal_code,cc,city,state,country,category,tip_count,likes,rating,price_tier,reservations,diningOptions,payments,outdoorSeating,serves
89,89,4adcdaebf964a520bc5921e3,Zum Franziskaner,59.322390688855755,18.074312289722304,Skeppsbron 44,3248,,SE,Stockholm,Storstockholm,Sverige,Scandinavian Restaurant,13.0,33.0,6.4,2.0,Yes,No Delivery,Credit Cards: Yes,No,"Brunch, Dinner, "
90,90,4bdf0d8affdec928e691eaa1,Hank's Heaven,59.26320954528193,18.04280455752321,Högdalsgången 5,4102,,SE,Bandhagen,Storstockholm,Sverige,Pub,2.0,2.0,,1.0,No,No Delivery,,Yes,
91,91,4adcdaf0f964a520535b21e3,Vassa Eggen Steakhouse,59.337573266281225,18.06954761013504,Birger Jarlsgatan 29,4959,,SE,Stockholm,Storstockholm,Sverige,Steakhouse,36.0,127.0,7.5,4.0,Yes,Delivery,Credit Cards: Yes,No,"Lunch, Dinner, Happy Hour, "
92,92,4d3c53706e0aa1cda3f1e12c,Skvallerhörnan,59.344535,18.046564,Upplandsgatan 64,6047,,SE,Stockholm,Storstockholm,Sverige,Pub,3.0,3.0,5.7,1.0,,,Credit Cards: Yes,,
93,93,4b870da3f964a520cead31e3,City Krogen,59.33394295563755,18.0562401463521,Vasagatan 46,4752,,SE,Stockholm,Storstockholm,Sverige,Pub,1.0,2.0,,1.0,,,,,
94,94,4b6d774bf964a5204f762ce3,Tiffanys,59.317186057071495,18.071891833006926,Götgatan 27,2708,,SE,Stockholm,Storstockholm,Sverige,Bar,7.0,22.0,5.6,2.0,,,Credit Cards: Yes,Yes,"Brunch, Dinner, "
95,95,4af5eea8f964a520fcfe21e3,The Swan,59.30069117394693,18.014554055349386,Nioörtsvägen 36,4003,,SE,Stockholm,Storstockholm,Sverige,Pub,3.0,4.0,,2.0,,,,,
96,96,4b44f002f964a520420026e3,Pub Mickel Räv,59.25405169261254,18.08298110961914,Pepparvägen 27,4402,,SE,Stockholm,Storstockholm,Sverige,Pub,1.0,2.0,,1.0,,,,,
97,97,4b57461ff964a520ad2e28e3,Galway’s,59.33597650638392,18.06720235023665,Kungsgatan 24,4808,,SE,Stockholm,Storstockholm,Sverige,Irish Pub,29.0,59.0,5.9,,Yes,No Delivery,Credit Cards: Yes,,"Brunch, Lunch, Dinner, "
98,98,4b8d7f35f964a5204bff32e3,Göta Ark,59.3155627462222,18.070303462452134,Medborgarplatsen 25,2558,,SE,Stockholm,Storstockholm,Sverige,Pub,6.0,3.0,5.3,2.0,,,,Yes,
